Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 096: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'STATIONARY', 495, 'CARTON LABEL', 'pcs', 2.976, 'Labels']
Row 097: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.079, 'Packing Tape']
Row 098: [3447, 34, 'Samsol International Private Limited', 'S 43 25MM', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.917, 'Aluminum Slugs']
Row 099: [3447, 34, 'Samsol International Private Limited', 'S 43 25MM', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.61, 'Base Coat']
Row 100: [3447, 34, 'Samsol International Private Limited', 'S 43 25MM', 25, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 101: [3447, 34, 'Samsol International Private Limited', 'S 43 25MM', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
Row 102: [3447, 34, 'Samsol International Private Limited', 'S 43 25MM', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00615, 'Zinc Stearate']
Row 103: [3447, 34, 'Samsol International Private Limited', 'S 43 25MM', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.3737, 'Lacquer']
Row 104: [3447, 34, 'Samsol International Private Limited', 'S 43 25MM', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 4.712, 'Packing Tape']
Row 105: [3726, 9, 'Samsol International Private Limited', 'TUBES', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.917, 'Aluminum Slugs']
Row 106: [3726, 9, 'Samsol International Private Limited', 'TUBES', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.612, 'Base Coat']
Row 107: [3726, 9, 'Samsol International Private Limited', 'TUBES', 25, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 108: [3726, 9, 'Samsol International Private Limited', 'TUBES', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
Row 109: [3726, 9, 'Samsol International Private Limited', 'TUBES', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00615, 'Zinc Stearate']
Row 110: [3726, 9, 'Samsol International Private Limited', 'TUBES', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.292, 'Lacquer']
